playerId,goals,assists,yellowCards,redCards,matches_played,goals_per_match,assists_per_match,performance_score,high_performance
14798,0.0,0,0,0,3,0.0,0.0,0.0,True
14804,0.0,0,0,0,3,0.0,0.0,0.0,True
14808,0.0,0,0,0,3,0.0,0.0,0.0,True
14812,3.0,1,0,0,7,0.42857142857142855,0.14285714285714285,1.0,True
14816,1.0,0,0,0,4,0.25,0.0,0.5,True
14817,0.0,0,0,0,3,0.0,0.0,0.0,True
14826,0.0,0,0,0,3,0.0,0.0,0.0,True
14836,2.0,1,68,0,4,0.5,0.25,-7.25,False
14862,0.0,0,0,0,3,0.0,0.0,0.0,True
14872,0.0,0,0,0,2,0.0,0.0,0.0,True
14908,0.0,0,0,0,5,0.0,0.0,0.0,True
14909,1.0,1,23,0,3,0.3333333333333333,0.3333333333333333,-2.8333333333333335,False
14911,2.0,0,65,0,3,0.6666666666666666,0.0,-9.5,False
14922,0.0,0,0,0,4,0.0,0.0,0.0,True
14929,0.0,0,94,0,4,0.0,0.0,-11.75,False
14939,0.0,0,0,0,3,0.0,0.0,0.0,True
14943,3.0,0,106,0,7,0.42857142857142855,0.0,-6.714285714285714,False
14991,0.0,0,0,0,3,0.0,0.0,0.0,True
15008,0.0,0,0,0,3,0.0,0.0,0.0,True
15020,0.0,0,13,0,3,0.0,0.0,-2.1666666666666665,False
15024,1.0,0,0,0,3,0.3333333333333333,0.0,0.6666666666666666,True
15054,0.0,0,0,0,3,0.0,0.0,0.0,True
15062,0.0,0,0,0,3,0.0,0.0,0.0,True
15080,0.0,1,0,0,4,0.0,0.25,0.25,True
15125,0.0,0,0,0,3,0.0,0.0,0.0,True
15199,0.0,0,0,0,4,0.0,0.0,0.0,True
15214,0.0,0,0,0,3,0.0,0.0,0.0,True
15272,0.0,0,0,0,5,0.0,0.0,0.0,True
15282,0.0,0,0,0,3,0.0,0.0,0.0,True
15727,0.0,0,0,0,3,0.0,0.0,0.0,True
15781,0.0,0,0,0,3,0.0,0.0,0.0,True
15795,0.0,0,0,0,7,0.0,0.0,0.0,True
15806,0.0,0,0,0,4,0.0,0.0,0.0,True
15808,1.0,0,0,0,5,0.2,0.0,0.4,True
15811,0.0,0,0,0,3,0.0,0.0,0.0,True
16151,0.0,0,0,0,3,0.0,0.0,0.0,True
16443,0.0,0,32,0,3,0.0,0.0,-5.333333333333333,False
18669,0.0,0,0,0,2,0.0,0.0,0.0,True
20394,1.0,0,0,0,5,0.2,0.0,0.4,True
20433,0.0,0,0,0,4,0.0,0.0,0.0,True
20460,0.0,0,0,0,5,0.0,0.0,0.0,True
20465,0.0,0,67,0,3,0.0,0.0,-11.166666666666666,False
20517,0.0,1,0,0,4,0.0,0.25,0.25,True
20525,0.0,0,0,0,3,0.0,0.0,0.0,True
20579,0.0,0,40,0,3,0.0,0.0,-6.666666666666667,False
20591,0.0,0,0,0,4,0.0,0.0,0.0,True
20751,1.0,1,118,0,4,0.25,0.25,-14.0,False
20764,0.0,0,0,0,4,0.0,0.0,0.0,True
20766,0.0,0,0,0,4,0.0,0.0,0.0,True
20876,0.0,0,52,0,5,0.0,0.0,-5.2,False
20938,0.0,0,129,0,4,0.0,0.0,-16.125,False
20941,0.0,0,32,0,3,0.0,0.0,-5.333333333333333,False
21097,0.0,0,0,0,3,0.0,0.0,0.0,True
21098,0.0,0,0,0,3,0.0,0.0,0.0,True
21169,1.0,0,0,0,4,0.25,0.0,0.5,True
21174,3.0,0,0,0,4,0.75,0.0,1.5,True
21275,2.0,0,0,0,5,0.4,0.0,0.8,True
21314,0.0,0,59,0,3,0.0,0.0,-9.833333333333334,False
21333,0.0,0,0,0,3,0.0,0.0,0.0,True
22107,0.0,0,0,0,4,0.0,0.0,0.0,True
25381,0.0,0,0,0,7,0.0,0.0,0.0,True
25382,0.0,0,0,0,4,0.0,0.0,0.0,True
25393,0.0,0,35,0,7,0.0,0.0,-2.5,False
25397,1.0,0,0,0,7,0.14285714285714285,0.0,0.2857142857142857,True
25418,0.0,0,0,0,7,0.0,0.0,0.0,True
25437,0.0,0,88,0,6,0.0,0.0,-7.333333333333333,False
25537,1.0,0,12,0,3,0.3333333333333333,0.0,-1.3333333333333335,False
25552,0.0,0,0,0,7,0.0,0.0,0.0,True
25553,0.0,0,0,0,4,0.0,0.0,0.0,True
25622,0.0,0,0,0,7,0.0,0.0,0.0,True
25633,0.0,0,0,0,3,0.0,0.0,0.0,True
25662,0.0,0,0,0,4,0.0,0.0,0.0,True
25706,0.0,0,72,0,3,0.0,0.0,-12.0,False
25707,3.0,2,63,0,7,0.42857142857142855,0.2857142857142857,-3.357142857142857,False
25726,0.0,0,0,0,3,0.0,0.0,0.0,True
25747,1.0,0,0,0,3,0.3333333333333333,0.0,0.6666666666666666,True
25770,0.0,0,0,0,7,0.0,0.0,0.0,True
25776,2.0,2,0,0,3,0.6666666666666666,0.6666666666666666,2.0,True
25816,0.0,0,0,0,4,0.0,0.0,0.0,True
25888,0.0,1,0,0,3,0.0,0.3333333333333333,0.3333333333333333,True
25898,1.0,1,110,0,3,0.3333333333333333,0.3333333333333333,-17.333333333333332,False
25998,0.0,0,0,0,3,0.0,0.0,0.0,True
26010,0.0,2,93,0,7,0.0,0.2857142857142857,-6.357142857142858,False
26022,0.0,0,0,0,3,0.0,0.0,0.0,True
26038,0.0,1,29,0,3,0.0,0.3333333333333333,-4.5,False
26100,0.0,0,0,0,3,0.0,0.0,0.0,True
26115,0.0,0,49,0,3,0.0,0.0,-8.166666666666666,False
26136,0.0,0,0,0,7,0.0,0.0,0.0,True
26196,0.0,0,0,0,7,0.0,0.0,0.0,True
26226,0.0,0,0,0,3,0.0,0.0,0.0,True
26518,0.0,0,54,3,3,0.0,0.0,-11.0,False
26610,0.0,0,0,0,3,0.0,0.0,0.0,True
26668,0.0,0,0,0,3,0.0,0.0,0.0,True
27412,0.0,0,91,0,3,0.0,0.0,-15.166666666666666,False
28094,0.0,0,71,0,3,0.0,0.0,-11.833333333333334,False
28115,0.0,0,0,0,7,0.0,0.0,0.0,True
28529,0.0,0,90,0,3,0.0,0.0,-15.0,False
28907,0.0,1,33,0,4,0.0,0.25,-3.875,False
28922,0.0,0,0,0,7,0.0,0.0,0.0,True
29625,1.0,0,0,0,3,0.3333333333333333,0.0,0.6666666666666666,True
31528,0.0,0,27,0,7,0.0,0.0,-1.9285714285714286,False
32544,0.0,0,0,0,3,0.0,0.0,0.0,True
32597,1.0,0,64,0,4,0.25,0.0,-7.5,False
32599,0.0,0,0,0,4,0.0,0.0,0.0,True
32641,0.0,0,0,0,5,0.0,0.0,0.0,True
32706,0.0,0,0,0,3,0.0,0.0,0.0,True
32793,0.0,0,0,0,3,0.0,0.0,0.0,True
32798,0.0,0,0,0,5,0.0,0.0,0.0,True
32968,0.0,0,29,0,3,0.0,0.0,-4.833333333333333,False
33032,0.0,1,0,0,3,0.0,0.3333333333333333,0.3333333333333333,True
37725,0.0,0,0,0,3,0.0,0.0,0.0,True
37732,0.0,0,0,0,4,0.0,0.0,0.0,True
37762,0.0,0,0,0,4,0.0,0.0,0.0,True
37824,1.0,2,85,0,6,0.16666666666666666,0.3333333333333333,-6.416666666666666,False
37831,0.0,0,64,0,4,0.0,0.0,-8.0,False
37896,0.0,0,93,0,4,0.0,0.0,-11.625,False
37948,1.0,0,64,0,3,0.3333333333333333,0.0,-10.0,False
38021,1.0,2,88,0,7,0.14285714285714285,0.2857142857142857,-5.714285714285714,False
38064,0.0,0,0,0,3,0.0,0.0,0.0,True
38084,0.0,0,0,0,3,0.0,0.0,0.0,True
38093,1.0,0,0,0,7,0.14285714285714285,0.0,0.2857142857142857,True
38241,0.0,0,0,0,3,0.0,0.0,0.0,True
40335,0.0,0,0,0,4,0.0,0.0,0.0,True
40536,0.0,0,0,0,5,0.0,0.0,0.0,True
40539,0.0,0,0,0,5,0.0,0.0,0.0,True
40550,1.0,0,0,0,5,0.2,0.0,0.4,True
40707,0.0,0,89,0,5,0.0,0.0,-8.9,False
40756,0.0,0,105,0,4,0.0,0.0,-13.125,False
40810,2.0,1,81,0,5,0.4,0.2,-7.1,False
41123,1.0,0,0,0,5,0.2,0.0,0.4,True
49855,0.0,0,0,0,4,0.0,0.0,0.0,True
49862,0.0,0,0,0,2,0.0,0.0,0.0,True
49872,1.0,1,92,0,4,0.25,0.25,-10.75,False
49876,1.0,0,68,0,4,0.25,0.0,-8.0,False
49883,0.0,0,0,0,4,0.0,0.0,0.0,True
49919,0.0,0,0,0,4,0.0,0.0,0.0,True
49968,0.0,0,0,0,4,0.0,0.0,0.0,True
49977,0.0,0,0,94,4,0.0,0.0,-47.0,False
49991,0.0,0,0,0,4,0.0,0.0,0.0,True
49997,1.0,0,0,0,3,0.3333333333333333,0.0,0.6666666666666666,True
50023,1.0,0,0,0,4,0.25,0.0,0.5,True
50102,0.0,0,148,0,3,0.0,0.0,-24.666666666666668,False
50411,0.0,0,98,0,3,0.0,0.0,-16.333333333333332,False
50771,0.0,0,0,0,5,0.0,0.0,0.0,True
50798,0.0,0,0,0,5,0.0,0.0,0.0,True
50805,0.0,0,0,0,5,0.0,0.0,0.0,True
50806,0.0,0,0,0,5,0.0,0.0,0.0,True
50812,0.0,0,0,0,5,0.0,0.0,0.0,True
51004,0.0,0,0,0,3,0.0,0.0,0.0,True
51064,0.0,0,0,0,5,0.0,0.0,0.0,True
51127,0.0,0,0,0,3,0.0,0.0,0.0,True
51132,1.0,0,0,0,5,0.2,0.0,0.4,True
51144,0.0,1,61,0,5,0.0,0.2,-5.8999999999999995,False
51145,0.0,0,0,0,5,0.0,0.0,0.0,True
51151,0.0,0,0,0,5,0.0,0.0,0.0,True
